央视高清,#genre#
宁夏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225726/index.m3u8
宁夏卫视,http://39.135.138.58:18890/ysten-businessmobile/live/ningxiastv/1.m3u8
青海卫视,http://111.20.33.93/TVOD/88888888/224/3221225794/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
青海卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225727/index.m3u8
青海卫视,http://39.135.138.58:18890/ysten-businessmobile/live/qinghaistv/1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
厦门卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226199/index.m3u8
厦门卫视,http://39.135.138.58:18890/ysten-businessmobile/live/SD-4000k-576P-xiamenstv/1.m3u8
山东卫视,http://111.20.33.93/TVOD/88888888/224/3221225771/index.m3u8
山东卫视,http://111.40.196.36/PLTV/88888888/224/3221225545/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
